Product_Code,Product_code_Title,Supplier_Count,Number_of_Searches
2.9.6,Roofing Services,137,3036
2.9.7,Concrete Services,326,4990
2.9.9,Road Construction & Surfacing Services,364,6124
2.9.10,General Building incl. Offices,301,5900
2.9.11,Security Equipment Installation & Maintenance,252,5449
2.9.12,"Heating, Ventilation & Air Conditioning Services",153,3407
2.9.13,Insulation Services,129,581
2.9.14,Carpark Construction,186,1373
2.9.15,Minor Civil Works for General Buildings/Offices/Depots,439,8522
2.9.16,Sports & Recreational Facilities Construction & Maintenance,38,272
2.9.17,Construction Project Management,124,2657
2.9.18,Minor Building Repair Call-Out Service,97,2668
2.9.19,Minor Structure/Civil Repair Call-Out Service,86,2075
2.9.20,Piping assembly,23,331
2.9.22,"Connection, works, cut-off and reconnection management services",9,708
2.9.23,Facade Work,33,241
2.9.99,Other General Building & Construction Services,195,3592
2.10.1,Wildlife / Bird Management,13,68
2.10.2,Stand / Coaching Planning,0,25
2.10.3,Slots Planning,1,11
2.10.4,Ice Management / Weather Systems,5,33
2.10.5,Marshalling,1,8
2.10.6,Cargo Systems Management (Processing/Customs),0,4
2.10.7,Auditing,7,134
2.11.1,Handling Aircraft - Ramps,0,34
2.11.2,Handling Passengers - PRM (People with Reduced Mobility),4,50
3.1.1,Enclosures & Kiosks,90,2870
3.1.2,Flood Defence/Landscaping Building Products,52,1418
3.1.3,Environmental/Reclaimed Building Products,11,420
3.1.5,Airport/Port Security Equipment,47,529
3.1.6,Explosion Protection Equipment,19,146
3.1.99,Other Sector Specific Building/Civil Products & Materials,56,598
3.2.1,Programmable Logic Controllers (PLC's),108,1798
3.2.2,Control & Instrumentation Systems & Spares,296,4381
3.2.3,Control & Instrumentation Automation Hardware,136,1452
3.2.4,Optical Instruments,21,433
3.2.5,Instrumentation & Associated Equipment,202,3798
3.2.7,Detection/Monitoring Equipment,182,3396
3.2.8,Detection/Monitoring Systems for District Heating and Cooling,38,500
3.2.9,Meteorological Stations,16,277
3.2.10,Survey Equipment,19,259
3.2.11,Panels/cupboards,22,662
3.2.12,"Aperture bridles and plates, nozzles and venturis",1,261
3.2.14,Flow meters,47,1522
3.2.15,Telereading systems,8,198
3.2.16,Assembly of instrumentation,8,409
3.2.17,Pitot tubes,1,236
3.2.18,Rotameters,5,510
3.2.19,Volumetric meters,10,611
3.2.20,LPG meters for industrial installations,5,350
3.2.21,Temperature meters,20,702
3.2.23,Pressure meters,23,775
3.2.24,Level meters,27,690
3.2.25,Analyser of physical and chemical properties,13,449
3.2.26,Analysers of chemical compounds,10,369
3.2.27,Other analysers,4,555
3.2.28,Measurement converters,4,157
3.2.29,Seal/condensation pots,0,101
3.2.31,Equipment for electrical measurement,31,696
3.2.32,Conductivimeter,6,403
3.2.33,Dynamometers,1,387
3.2.34,Metrology equipment,8,144
3.2.99,Other Control & Instrumentation Equipment,132,1855
3.3.6,Earthing Equipment,62,1867
3.3.7,Electrical Motors,72,1421
3.3.10,"Primary Cells, Batteries & Chargers",77,3125
3.3.11,Portable Power Supplies/Mobile Generators,87,2344
3.3.14,Trace Heating Equipment,28,329
3.3.15,Busbars & Support Structures,36,1169
3.3.16,Motor Control Centres & Spares,118,1614
3.3.17,Electronic Cards & Systems,36,728
3.3.20,Electrical/Electronic Components,55,2481
3.3.25,Photographic Equipment,4,190
3.3.27,"Evaporators, Refrigerators & Cryogenerators",22,64
3.3.29,Car Park Equipment & Systems,22,293
3.3.30,Airfield Lighting,14,115
3.3.31,Ticket Vending Machines,2,26
3.3.32,Street Lighting & Accessories,22,966
3.3.33,Traffic and Light Signal Systems,7,250
3.3.41,Contactors,11,839
3.3.43,Current collectors,4,267
3.3.45,High and medium voltage switchboard,28,455
3.3.46,Integrated Main Power Supply Panel,7,207
3.3.47,Other earthing equipments,18,541
3.3.48,Break indicators,5,83
3.3.49,"Rectifiers, converters",19,224
3.4.2,Cut Outs,26,1482
3.4.5,Relays,54,1648
3.4.9,Fuses - Below 1kV,24,2077
3.4.10,Fuses - 1kV to 11kV,28,2007
3.4.11,Fuses - Above 11kV,19,1493
3.4.12,Surge Diverters/Arrestors,32,1528
3.4.13,Distribution Fuse Cabinets/Pillars,38,920
3.4.14,Fault Passage Indicators,16,815
3.4.15,Uninterruptible Power Supply (UPS) Systems,69,1822
3.4.16,Lightning Protection Equipment,36,1320
3.4.19,Over voltage dissipator and lightning conductors of High and low voltage,6,511
3.4.20,Prewired measurement and junction boxes,10,567
3.4.21,Cable trays and stapling accessories,11,689
3.4.23,Fusible,2,376
3.4.24,Over voltage protection systems,22,686
3.4.25,"Fuse boxes, fuse blocks and fuse panel boards",9,720
3.4.26,Flameproof material: switchboards,3,386
3.4.27,"Flameproof material: lighting (lighting fitting, searchlight, etc.)",8,372
3.4.28,Flameproof material: electric tracing,3,351
3.4.29,Flameproof material: electronic power switching,2,347
3.4.30,Other flameproof material,0,364
3.4.31,Relay,11,676
3.4.33,Electrical line protections,9,483
3.4.99,Other Electrical Protection Equipment,85,1690
3.5.2,Transformers - Distribution Ground Mounted (2000kVA & Below),45,1771
3.5.3,Transformers - Distribution Pole Mounted (315kVA & Below),29,950
3.5.4,Transformers - Generator,38,651
3.5.6,Power transformers,31,883
3.5.7,Oil and silicon distribution transformers,17,213
3.5.8,Dry-type or encapsulated-winding distribution transformers,16,71
3.5.10,Intensity transformers,2,95
3.5.11,Alternators,5,19
3.5.13,Frequency converters,14,218
3.5.20,Transformers - Current,34,1142
3.5.21,Transformers - Voltage,33,1002
3.5.22,Transformers - Traction,18,154
3.5.23,Transformation centres,2,20
3.5.24,Substations - Unit/Composite,32,450
3.5.27,Transformers - Primary (Below 10MVA),40,828
3.5.29,Transformers - Grid (Above 100MVA),29,2605
3.5.30,Tap Changing Equipment,15,224
3.5.31,Transformer Bushings,21,191
3.5.32,Quadrature Boosters,13,1009
3.5.33,Voltage Regulators,14,371
3.5.34,Reactors,33,1333
3.5.35,Capacitors,13,182
3.5.36,Gas deflector,1,4
